tx,rep,day,pot_num_alive,con_alive,nh3
truckee,1,-1,0,0,0
truckee,2,-1,0,0,0
truckee,3,-1,0,0,0
truckee,1,0,4229,0,0
truckee,2,0,4229,0,0
truckee,3,0,4229,0,0
truckee,1,1,4229,0,0
truckee,2,1,4229,0,0
truckee,3,1,4229,0,0
truckee,1,2,4229,0,0
truckee,2,2,4229,0,0.25
truckee,3,2,4229,0,0
truckee,1,3,4229,0,0
truckee,2,3,4229,0,0.5
truckee,3,3,4229,0,0
truckee,1,4,4229,0,0.25
truckee,2,4,4229,0,0
truckee,3,4,4229,1,0
truckee,1,5,4229,4,0
truckee,2,5,4229,1,0
truckee,3,5,4229,14,0
truckee,1,6,4229,9,0
truckee,2,6,0,0,0
truckee,3,6,4229,10,0
truckee,1,7,4229,5,0.25
truckee,3,7,4229,7,0
truckee,1,8,4229,11,0
truckee,3,8,4229,7,0
truckee,1,9,4229,10,0
truckee,3,9,4229,9,0
truckee,1,10,4229,10,0
truckee,3,10,4229,12,0
truckee,1,11,4229,10,0
truckee,3,11,4229,11,0
truckee,1,12,4229,10,0
truckee,3,12,4229,9,0
truckee,1,13,4229,10,0
truckee,3,13,4229,12,0
truckee,1,14,4229,15,0
truckee,3,14,4229,12,0
truckee,1,15,4229,15,0
truckee,3,15,4229,11,0
truckee,1,16,4229,20,0
truckee,3,16,4229,8,0
truckee,1,17,0,20,0
truckee,3,17,0,8,0
pyramid,1,-1,0,0,0
pyramid,2,-1,0,0,0
pyramid,3,-1,0,0,0
pyramid,1,0,4229,0,0
pyramid,2,0,4229,0,0
pyramid,3,0,4229,0,0
pyramid,1,1,4229,0,0
pyramid,2,1,4229,0,0
pyramid,3,1,4229,0,0
pyramid,1,2,4229,0,0.5
pyramid,2,2,4229,0,0.25
pyramid,3,2,4229,0,0.25
pyramid,1,3,4229,0,0
pyramid,2,3,4229,0,0
pyramid,3,3,4229,0,0
pyramid,1,4,4229,0,0
pyramid,2,4,4229,0,0
pyramid,3,4,4229,0,0
pyramid,1,5,4229,8,0
pyramid,2,5,4229,13,0
pyramid,3,5,4229,4,0
pyramid,1,6,4229,15,0
pyramid,2,6,4229,24,0
pyramid,3,6,4229,13,0
pyramid,1,7,4229,14,0
pyramid,2,7,4229,20,0
pyramid,3,7,4229,11,0
pyramid,1,8,4229,14,0
pyramid,2,8,4229,24,0
pyramid,3,8,4229,15,0
pyramid,1,9,4229,10,0
pyramid,2,9,4229,24,0
pyramid,3,9,4229,14,0
pyramid,1,10,4229,11,0
pyramid,2,10,4229,24,0
pyramid,3,10,4229,14,0
pyramid,1,11,4229,12,0
pyramid,2,11,4229,24,0
pyramid,3,11,4229,12,0
pyramid,1,12,4229,10,0
pyramid,2,12,4229,20,0
pyramid,3,12,4229,11,0
pyramid,1,13,4229,9,0
pyramid,2,13,4229,19,0
pyramid,3,13,4229,17,0
pyramid,1,14,4229,10,0
pyramid,2,14,4229,19,0
pyramid,3,14,4229,11,0
pyramid,1,15,4229,10,0
pyramid,2,15,4229,19,0
pyramid,3,15,4229,15,0
pyramid,1,16,4229,1,0
pyramid,2,16,4229,1,0
pyramid,3,16,0,0,0
pyramid,1,17,0,0,0
pyramid,2,17,0,0,0
pyramid,3,17,0,0,0
t1,1,-1,0,0,0
t1,2,-1,0,0,0
t1,3,-1,0,0,0
t1,1,0,4229,0,0
t1,2,0,4229,0,0
t1,3,0,4229,0,0
t1,1,1,4229,0,0.25
t1,2,1,4229,0,0.25
t1,3,1,4229,0,0.25
t1,1,2,4229,0,1
t1,2,2,4229,0,0.25
t1,3,2,4229,0,1
t1,1,3,4229,0,1
t1,2,3,4229,0,0.5
t1,3,3,4229,0,1
t1,1,4,4229,0,0
t1,2,4,4229,0,0
t1,3,4,4229,0,0
t1,1,5,4229,0,0
t1,2,5,4229,0,0
t1,3,5,4229,0,0
t1,1,6,4229,0,0
t1,2,6,4229,0,0
t1,3,6,4229,0,0
t1,1,7,4229,0,0
t1,2,7,4229,0,0
t1,3,7,4229,0,0
t1,1,8,0,0,0
t1,2,8,0,0,0
t1,3,8,0,0,0
t2,1,-1,0,0,0
t2,2,-1,0,0,0
t2,3,-1,0,0,0
t2,1,0,4229,0,0
t2,2,0,4229,0,0
t2,3,0,4229,0,0
t2,1,1,4229,0,0.25
t2,2,1,4229,0,0.25
t2,3,1,4229,0,1
t2,1,2,4229,0,1
t2,2,2,4229,0,1
t2,3,2,4229,0,2
t2,1,3,4229,0,1
t2,2,3,4229,0,1
t2,3,3,4229,0,2
t2,1,4,0,0,0
t2,2,4,0,0,0
t2,3,4,0,0,0
t3,1,-1,0,0,0
t3,2,-1,0,0,0
t3,3,-1,0,0,0
t3,1,0,4229,0,0
t3,2,0,4229,0,0
t3,3,0,4229,0,0
t3,1,1,4229,0,0.25
t3,2,1,4229,0,0.5
t3,3,1,4229,0,0.25
t3,1,2,4229,0,0.25
t3,2,2,4229,0,1
t3,3,2,0,0,0
t3,1,3,0,0,0
t3,2,3,0,0,0
t3,3,3,0,0,0
